TEAM_ID,TEAM_CITY,TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,PTS,PTS_RANK
1610612743,Denver,Nuggets,2003,82,43,39,0.524,8,6,1,4,N/A,2993,6763,0.443,331,985,0.336,1655,2159,0.767,7972,5
1610612743,Denver,Nuggets,2004,82,49,33,0.598,7,2,1,4,N/A,3038,6615,0.459,320,940,0.34,1765,2313,0.763,8161,8
1610612743,Denver,Nuggets,2005,82,44,38,0.537,4,1,1,4,N/A,3078,6672,0.461,350,1076,0.325,1721,2312,0.744,8227,5
1610612743,Denver,Nuggets,2006,82,45,37,0.549,6,2,1,4,N/A,3164,6805,0.465,484,1440,0.336,1827,2449,0.746,8639,3
1610612743,Denver,Nuggets,2007,82,50,32,0.61,8,2,0,4,N/A,3307,7038,0.47,569,1605,0.355,1891,2519,0.751,9074,2
1610612743,Denver,Nuggets,2008,82,54,28,0.659,2,1,10,6,N/A,3058,6510,0.47,548,1477,0.371,1891,2487,0.76,8555,6
1610612743,Denver,Nuggets,2009,82,53,29,0.646,4,1,2,4,N/A,3124,6678,0.468,544,1517,0.359,1937,2508,0.772,8729,3
1610612743,Denver,Nuggets,2010,82,50,32,0.61,5,2,1,4,N/A,3145,6613,0.476,662,1704,0.388,1859,2429,0.765,8811,1
1610612743,Denver,Nuggets,2011,66,38,28,0.576,6,2,3,4,N/A,2572,5404,0.476,435,1311,0.332,1293,1760,0.735,6872,1
1610612743,Denver,Nuggets,2012,82,57,25,0.695,3,2,2,4,N/A,3339,6983,0.478,521,1518,0.343,1505,2148,0.701,8704,1
1610612743,Denver,Nuggets,2013,82,36,46,0.439,11,4,0,0,N/A,3147,7042,0.447,702,1959,0.358,1563,2154,0.726,8559,9
1610612743,Denver,Nuggets,2014,82,30,52,0.366,12,4,0,0,N/A,3099,7158,0.433,660,2032,0.325,1462,1991,0.734,8320,12
1610612743,Denver,Nuggets,2015,82,33,49,0.402,11,4,0,0,N/A,3093,7003,0.442,656,1943,0.338,1513,1974,0.766,8355,20
1610612743,Denver,Nuggets,2016,82,40,42,0.488,9,4,0,0,N/A,3377,7194,0.469,870,2365,0.368,1537,1986,0.774,9161,3
1610612743,Denver,Nuggets,2017,82,46,36,0.561,9,5,0,0,N/A,3338,7102,0.47,940,2536,0.371,1404,1830,0.767,9020,6
1610612743,Denver,Nuggets,2018,82,54,28,0.659,2,1,7,7,N/A,3439,7384,0.466,903,2571,0.351,1294,1714,0.755,9075,20
1610612743,Denver,Nuggets,2019,73,46,27,0.63,3,1,9,10,N/A,3069,6488,0.473,801,2234,0.359,1185,1526,0.777,8124,12
1610612743,Denver,Nuggets,2020,72,47,25,0.653,3,2,4,6,N/A,3114,6422,0.485,927,2462,0.377,1129,1406,0.803,8284,8
1610612743,Denver,Nuggets,2021,82,48,34,0.585,6,2,1,4,N/A,3416,7079,0.483,1039,2944,0.353,1372,1725,0.795,9243,10
1610612744,Golden State,Warriors,2000,82,17,65,0.207,14,7,0,0,N/A,2937,7175,0.409,282,964,0.293,1428,2024,0.706,7584,20
1610612744,Golden State,Warriors,2001,82,21,61,0.256,14,7,0,0,N/A,2998,6989,0.429,320,994,0.322,1693,2344,0.722,8009,7
1610612744,Golden State,Warriors,2002,82,38,44,0.463,11,6,0,0,N/A,3061,6941,0.441,425,1235,0.344,1853,2382,0.778,8400,2
1610612744,Golden State,Warriors,2003,82,37,45,0.451,11,4,0,0,N/A,2875,6511,0.442,429,1283,0.334,1470,2028,0.725,7649,13
1610612744,Golden State,Warriors,2004,82,34,48,0.415,12,5,0,0,N/A,3029,7039,0.43,624,1774,0.352,1412,1955,0.722,8094,13
1610612744,Golden State,Warriors,2005,82,34,48,0.415,13,5,0,0,N/A,2939,6785,0.433,625,1832,0.341,1573,2190,0.718,8076,11
1610612744,Golden State,Warriors,2006,82,42,40,0.512,8,2,5,6,N/A,3261,7048,0.463,700,1967,0.356,1515,2113,0.717,8737,2
1610612744,Golden State,Warriors,2007,82,48,34,0.585,9,3,0,0,N/A,3403,7406,0.459,761,2185,0.348,1538,2044,0.752,9105,1
1610612744,Golden State,Warriors,2008,82,29,53,0.354,10,3,0,0,N/A,3231,7055,0.458,550,1475,0.373,1893,2392,0.791,8905,2
1610612744,Golden State,Warriors,2009,82,26,56,0.317,13,4,0,0,N/A,3329,7094,0.469,633,1687,0.375,1631,2085,0.782,8922,2
1610612744,Golden State,Warriors,2010,82,36,46,0.439,12,3,0,0,N/A,3251,7047,0.461,685,1749,0.392,1290,1695,0.761,8477,7
1610612744,Golden State,Warriors,2011,66,23,43,0.348,13,4,0,0,N/A,2489,5443,0.457,524,1351,0.388,951,1235,0.77,6453,12
